timestamp,value,quality_flag
2019-06-06T00:00:00Z,5,0
2019-06-06T01:00:00Z,0,0
2019-06-06T02:00:00Z,0,0
2019-06-06T03:00:00Z,0,0
2019-06-06T04:00:00Z,0,0
2019-06-06T05:00:00Z,NaN,0
2019-06-06T06:00:00Z,100,0
2019-06-06T07:00:00Z,200,0
2019-06-06T08:00:00Z,350,0
2019-06-06T09:00:00Z,500,0
2019-06-06T10:00:00Z,,0
2019-06-06T11:00:00Z,800,0
2019-06-06T13:00:00Z,700,1
2019-06-06T14:00:00Z,200,0
2019-06-06T15:00:00Z,500,0
2019-06-06T16:00:00Z,400,0
2019-06-06T17:00:00Z,200,0
2019-06-06T18:00:00Z,100,0
2019-06-06T19:00:00Z,NULL,0
2019-06-06T20:00:00Z,0,0
2019-06-06T21:00:00Z,0,0
2019-06-06T22:00:00Z,0,0
2019-06-06T22:00:00Z,0,0
